IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,258,3.86
34.90.108.249,443,443,true,FRA,Europe,Frankfurt,267,3.86
34.116.207.140,443,443,true,FRA,Europe,Frankfurt,279,3.86
34.147.16.159,443,443,true,FRA,Europe,Frankfurt,274,3.84
34.65.223.113,443,443,true,FRA,Europe,Frankfurt,264,3.83
34.32.182.114,443,443,true,FRA,Europe,Frankfurt,269,3.80
34.154.10.75,443,443,true,FRA,Europe,Frankfurt,261,3.78
34.107.117.187,443,443,true,FRA,Europe,Frankfurt,261,3.77
34.159.146.212,443,443,true,FRA,Europe,Frankfurt,253,3.76
34.32.215.26,443,443,true,FRA,Europe,Frankfurt,269,3.71
34.91.180.136,443,443,true,FRA,Europe,Frankfurt,269,3.69
34.65.167.153,443,443,true,FRA,Europe,Frankfurt,250,3.68
34.159.55.124,443,443,true,FRA,Europe,Frankfurt,259,3.68
34.90.64.32,443,443,true,FRA,Europe,Frankfurt,267,3.67
34.105.233.161,443,443,true,LHR,Europe,London,215,3.66
34.65.43.234,443,443,true,FRA,Europe,Frankfurt,298,3.65
34.65.7.101,443,443,true,FRA,Europe,Frankfurt,269,3.63
34.154.67.215,443,443,true,FRA,Europe,Frankfurt,259,3.60
34.90.10.137,443,443,true,FRA,Europe,Frankfurt,267,3.60
34.65.167.153,443,443,true,FRA,Europe,Frankfurt,261,3.59
35.198.190.148,443,443,true,FRA,Europe,Frankfurt,262,3.49
34.154.192.70,443,443,true,FRA,Europe,Frankfurt,259,3.48
34.159.126.244,443,443,true,FRA,Europe,Frankfurt,271,3.46
34.116.188.43,443,443,true,FRA,Europe,Frankfurt,288,3.46
34.65.73.241,443,443,true,FRA,Europe,Frankfurt,259,3.43
34.65.6.206,443,443,true,FRA,Europe,Frankfurt,262,3.42
34.65.204.215,443,443,true,FRA,Europe,Frankfurt,271,3.41
34.107.41.98,443,443,true,FRA,Europe,Frankfurt,299,3.40
34.91.242.177,443,443,true,FRA,Europe,Frankfurt,258,3.40
34.90.64.32,443,443,true,FRA,Europe,Frankfurt,265,3.39
34.91.242.177,443,443,true,FRA,Europe,Frankfurt,276,3.38
34.118.57.203,443,443,true,FRA,Europe,Frankfurt,323,3.38
34.90.108.106,443,443,true,FRA,Europe,Frankfurt,272,3.37
34.118.6.177,443,443,true,FRA,Europe,Frankfurt,339,3.37
34.65.73.241,443,443,true,FRA,Europe,Frankfurt,259,3.35
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,259,3.34
34.65.204.215,443,443,true,FRA,Europe,Frankfurt,266,3.29
34.154.101.111,443,443,true,FRA,Europe,Frankfurt,256,3.27
34.141.35.238,443,443,true,FRA,Europe,Frankfurt,265,3.27
34.118.64.153,443,443,true,FRA,Europe,Frankfurt,344,3.25
34.159.54.249,443,443,true,FRA,Europe,Frankfurt,262,3.25
34.116.140.78,443,443,true,FRA,Europe,Frankfurt,289,3.24
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,269,3.21
34.118.1.28,443,443,true,FRA,Europe,Frankfurt,357,3.17
34.118.76.197,443,443,true,FRA,Europe,Frankfurt,280,3.15
34.90.64.32,443,443,true,FRA,Europe,Frankfurt,258,3.15
35.198.162.11,443,443,true,FRA,Europe,Frankfurt,260,3.15
34.32.251.7,443,443,true,FRA,Europe,Frankfurt,258,3.14
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,329,3.12
34.154.103.81,443,443,true,FRA,Europe,Frankfurt,250,3.10
34.154.62.186,443,443,true,FRA,Europe,Frankfurt,249,3.09
34.154.151.69,443,443,true,FRA,Europe,Frankfurt,268,3.09
34.89.133.87,443,443,true,FRA,Europe,Frankfurt,264,3.07
34.105.189.25,443,443,true,LHR,Europe,London,226,3.07
34.141.16.75,443,443,true,FRA,Europe,Frankfurt,265,3.06
34.65.223.113,443,443,true,FRA,Europe,Frankfurt,260,3.06
34.116.249.85,443,443,true,FRA,Europe,Frankfurt,321,3.04
35.246.171.149,443,443,true,FRA,Europe,Frankfurt,260,3.03
34.107.14.208,443,443,true,FRA,Europe,Frankfurt,308,3.03
34.65.230.145,443,443,true,FRA,Europe,Frankfurt,275,3.02
34.90.10.137,443,443,true,FRA,Europe,Frankfurt,256,3.01
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,262,3.01
34.65.133.57,443,443,true,FRA,Europe,Frankfurt,255,2.99
34.116.203.33,443,443,true,FRA,Europe,Frankfurt,360,2.99
34.141.192.79,443,443,true,FRA,Europe,Frankfurt,276,2.97
34.90.108.249,443,443,true,FRA,Europe,Frankfurt,266,2.93
34.65.196.206,443,443,true,FRA,Europe,Frankfurt,254,2.91
34.90.108.249,443,443,true,FRA,Europe,Frankfurt,263,2.90
34.107.125.78,443,443,true,FRA,Europe,Frankfurt,335,2.83
34.159.147.210,443,443,true,FRA,Europe,Frankfurt,282,2.81
34.118.50.188,443,443,true,FRA,Europe,Frankfurt,329,2.76
34.116.216.206,443,443,true,FRA,Europe,Frankfurt,267,2.75
34.34.26.94,443,443,true,FRA,Europe,Frankfurt,259,2.66
34.107.41.98,443,443,true,FRA,Europe,Frankfurt,250,2.64
34.116.157.215,443,443,true,FRA,Europe,Frankfurt,384,2.59
35.242.194.40,443,443,true,FRA,Europe,Frankfurt,302,2.58
34.118.92.155,443,443,true,FRA,Europe,Frankfurt,289,2.57
34.116.249.21,443,443,true,FRA,Europe,Frankfurt,334,2.54
34.141.148.252,443,443,true,FRA,Europe,Frankfurt,267,2.53
34.116.157.223,443,443,true,FRA,Europe,Frankfurt,345,2.50
35.204.181.210,443,443,true,FRA,Europe,Frankfurt,264,2.47
34.140.239.154,2083,80,false,CDG,Europe,Paris,197,2.47
34.175.133.251,2052,80,false,MAD,Europe,Madrid,189,2.47
34.141.191.17,443,443,true,FRA,Europe,Frankfurt,267,2.45
34.140.239.154,2095,80,false,CDG,Europe,Paris,195,2.45
34.154.189.30,443,443,true,FRA,Europe,Frankfurt,261,2.44
34.140.239.154,2087,80,false,CDG,Europe,Paris,210,2.44
34.175.133.251,2082,80,false,MAD,Europe,Madrid,190,2.44
34.140.239.154,2053,80,false,CDG,Europe,Paris,209,2.44
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,214,2.41
34.140.239.154,2052,80,false,CDG,Europe,Paris,211,2.41
34.140.239.154,2086,80,false,CDG,Europe,Paris,197,2.41
34.116.188.43,443,443,true,FRA,Europe,Frankfurt,322,2.41
34.118.117.7,443,443,true,FRA,Europe,Frankfurt,268,2.40
34.175.133.251,2087,80,false,MAD,Europe,Madrid,191,2.39
34.175.133.251,2096,80,false,MAD,Europe,Madrid,196,2.37
34.116.233.114,443,443,true,FRA,Europe,Frankfurt,360,2.33
34.175.133.251,2083,80,false,MAD,Europe,Madrid,201,2.28
34.175.95.58,2087,80,false,MAD,Europe,Madrid,190,2.27
34.118.73.23,443,443,true,FRA,Europe,Frankfurt,280,2.25
34.175.95.58,2053,80,false,MAD,Europe,Madrid,188,2.21
34.175.133.251,2053,80,false,MAD,Europe,Madrid,190,2.18
34.175.133.251,2086,80,false,MAD,Europe,Madrid,197,2.17
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,209,2.16
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,214,2.13
34.175.95.58,2096,80,false,MAD,Europe,Madrid,189,2.12
34.118.101.126,443,443,true,FRA,Europe,Frankfurt,285,2.12
34.175.7.231,2053,80,false,MAD,Europe,Madrid,188,2.11
34.175.7.231,2087,80,false,MAD,Europe,Madrid,190,2.11
34.175.95.58,2086,80,false,MAD,Europe,Madrid,191,2.11
34.175.95.58,2082,80,false,MAD,Europe,Madrid,201,2.11
34.175.7.231,2052,80,false,MAD,Europe,Madrid,191,2.10
34.175.143.15,2095,80,false,MAD,Europe,Madrid,194,2.10
34.175.99.73,2096,80,false,MAD,Europe,Madrid,197,2.10
34.140.239.154,2096,80,false,CDG,Europe,Paris,209,2.08
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,210,2.08
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,205,2.08
34.175.95.58,2052,80,false,MAD,Europe,Madrid,188,2.07
34.175.99.73,2086,80,false,MAD,Europe,Madrid,190,2.07
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,199,2.07
34.116.128.120,443,443,true,FRA,Europe,Frankfurt,732,2.07
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,200,2.07
34.175.133.251,2095,80,false,MAD,Europe,Madrid,189,2.06
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,208,2.05
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,203,2.05
35.187.41.171,2087,80,false,CDG,Europe,Paris,211,2.05
34.175.99.73,2095,80,false,MAD,Europe,Madrid,197,2.05
34.140.239.154,2082,80,false,CDG,Europe,Paris,196,2.04
34.90.79.140,443,443,true,FRA,Europe,Frankfurt,294,2.04
